vari,vuosi,count
9,2006,4788
4,2006,1905
Z,2006,484
5,2006,7684
0,2006,24768
6,2007,22215
1,2007,11419
7,2007,413
2,2007,17554
X,2007,106
8,2007,34728
3,2007,567
"",2007,627
Y,2007,15309
9,2007,4623
4,2007,1503
Z,2007,301
5,2007,5459
0,2007,24389
6,2008,22693
1,2008,10980
7,2008,404
2,2008,20675
X,2008,143
8,2008,38677
3,2008,547
"",2008,480
Y,2008,16562
9,2008,7491
4,2008,1094
Z,2008,260
5,2008,4590
0,2008,29911
6,2009,14930
1,2009,6731
7,2009,751
2,2009,12685
X,2009,78
8,2009,27529
3,2009,340
"",2009,383
Y,2009,12134
9,2009,7576
4,2009,592
Z,2009,173
5,2009,3528
0,2009,20444
6,2010,17820
1,2010,9087
7,2010,1238
2,2010,15799
X,2010,146
8,2010,33503
3,2010,538
"",2010,391
Y,2010,14215
9,2010,13420
4,2010,560
Z,2010,143
5,2010,3073
0,2010,26362
6,2011,16929
1,2011,14160
7,2011,1124
2,2011,16254
X,2011,142
8,2011,33876
3,2011,552
"",2011,633
Y,2011,13375
9,2011,19235
4,2011,661
Z,2011,73
5,2011,2934
0,2011,28522
6,2012,13938
1,2012,13049
7,2012,1155
2,2012,15228
X,2012,98
8,2012,27378
3,2012,648
"",2012,560
Y,2012,12258
9,2012,19679
4,2012,599
Z,2012,216
5,2012,2120
0,2012,23793
6,2013,12996
1,2013,13007
7,2013,834
2,2013,14458
X,2013,61
8,2013,22915
3,2013,635
"",2013,634
Y,2013,10892
9,2013,22897
4,2013,531
Z,2013,186
5,2013,1393
0,2013,21076
6,2014,12730
1,2014,13656
7,2014,708
2,2014,14341
X,2014,57
8,2014,22326
3,2014,621
"",2014,589
Y,2014,9580
9,2014,26515
4,2014,495
Z,2014,104
5,2014,1441
0,2014,20601
6,2015,10386
1,2015,9109
7,2015,419
2,2015,10919
X,2015,79
8,2015,18713
3,2015,403
"",2015,422
Y,2015,6667
9,2015,20787
4,2015,421
Z,2015,11
5,2015,973
0,2015,15029
