304 Kustavi - Gustavs			459	435	894
305 Kuusamo - Kuusamo			8020	7790	15810
312 Kyyjärvi - Kyyjärvi			710	689	1399
316 Kärkölä - Kärkölä			2349	2304	4653
317 Kärsämäki - Kärsämäki			1395	1296	2691
318 Kökar - Kökar			142	111	253
319 Köyliö - Kjulo			1352	1287	2639
398 Lahti - Lahtis			49383	54463	103846
399 Laihia - Laihela			4038	4023	8061
400 Laitila - Laitila			4205	4317	8522
407 Lapinjärvi - Lappträsk			1394	1382	2776
402 Lapinlahti - Lapinlahti			5091	4990	10081
403 Lappajärvi - Lappajärvi			1607	1647	3254
405 Lappeenranta - Villmanstrand			35994	36836	72830
408 Lapua - Lappo			7288	7441	14729
410 Laukaa - Laukaa			9410	9294	18704
416 Lemi - Lemi			1649	1472	3121
417 Lemland - Lemland			986	952	1938
418 Lempäälä - Lempäälä			11084	11167	22251
420 Leppävirta - Leppävirta			5063	4933	9996
421 Lestijärvi - Lestijärvi			413	404	817
422 Lieksa - Lieksa			6182	5931	12113
423 Lieto - Lundo			9572	9633	19205
425 Liminka - Limingo			4986	4789	9775
426 Liperi - Liperi			6227	6100	12327
444 Lohja - Lojo			23452	24177	47629
430 Loimaa - Loimaa			8201	8406	16607
433 Loppi - Loppi			4258	4033	8291
434 Loviisa - Lovisa			7717	7739	15456
435 Luhanka - Luhanka			407	352	759
436 Lumijoki - Lumijoki			1077	996	2073
438 Lumparland - Lumparland			214	201	415
440 Luoto - Larsmo			2617	2489	5106
441 Luumäki - Luumäki			2516	2426	4942
442 Luvia - Luvia			1691	1654	3345
475 Maalahti - Malax			2837	2730	5567
476 Maaninka - Maaninka			1	0	1
478 Maarianhamina - Mariehamn			5511	5949	11460
480 Marttila - Marttila			1044	1016	2060
481 Masku - Masku			4927	4830	9757
483 Merijärvi - Merijärvi			625	521	1146
484 Merikarvia - Sastmola			1607	1636	3243
489 Miehikkälä - Miehikkälä			1071	1055	2126
491 Mikkeli - S:t Michel			26673	28058	54731
494 Muhos - Muhos			4571	4415	8986
495 Multia - Multia			921	838	1759
498 Muonio - Muonio			1191	1184	2375
499 Mustasaari - Korsholm			9715	9577	19292
500 Muurame - Muurame			4885	4816	9701
503 Mynämäki - Mynämäki			3949	3957	7906
504 Myrskylä - Mörskom			983	999	1982
505 Mäntsälä - Mäntsälä			10200	10421	20621
508 Mänttä-Vilppula - Mänttä-Vilppula			5250	5471	10721
507 Mäntyharju - Mäntyharju			3083	3167	6250
529 Naantali - Nådendal			9148	9715	18863
531 Nakkila - Nakkila			2822	2828	5650
532 Nastola - Nastola			7493	7396	14889
535 Nivala - Nivala			5579	5361	10940
536 Nokia - Nokia			16280	16578	32858
538 Nousiainen - Nousis			2472	2378	4850
541 Nurmes - Nurmes			4063	4001	8064
543 Nurmijärvi - Nurmijärvi			20714	20888	41602
545 Närpiö - Närpes			4764	4640	9404
560 Orimattila - Orimattila			8075	8210	16285
561 Oripää - Oripää			707	705	1412
562 Orivesi - Orivesi			4718	4881	9599
563 Oulainen - Oulainen			3786	3950	7736
564 Oulu - Uleåborg			97793	98589	196382
309 Outokumpu - Outokumpu			3570	3618	7188
576 Padasjoki - Padasjoki			1601	1590	3191
577 Paimio - Pemar			5258	5377	10635
578 Paltamo - Paltamo			1839	1727	3566
445 Parainen - Pargas			7684	7804	15488
580 Parikkala - Parikkala			2705	2654	5359
581 Parkano - Parkano			3447	3350	6797
599 Pedersören kunta - Pedersöre			5709	5350	11059
583 Pelkosenniemi - Pelkosenniemi			523	425	948
854 Pello - Pello			1873	1790	3663
584 Perho - Perho			1458	1436	2894
588 Pertunmaa - Pertunmaa			936	884	1820
592 Petäjävesi - Petäjävesi			2057	2007	4064
593 Pieksämäki - Pieksämäki			9361	9685	19046
595 Pielavesi - Pielavesi			2461	2318	4779
598 Pietarsaari - Jakobstad			9703	9869	19572
601 Pihtipudas - Pihtipudas			2105	2158	4263
604 Pirkkala - Birkala			9221	9449	18670
607 Polvijärvi - Polvijärvi			2343	2255	4598
608 Pomarkku - Påmark			1169	1112	2281
609 Pori - Björneborg			41456	43904	85360
611 Pornainen - Borgnäs			2614	2549	5163
638 Porvoo - Borgå			24482	25341	49823
614 Posio - Posio			1897	1735	3632
615 Pudasjärvi - Pudasjärvi			4393	4005	8398
616 Pukkila - Pukkila			1004	999	2003
619 Punkalaidun - Punkalaidun			1591	1526	3117
620 Puolanka - Puolanka			1459	1355	2814
623 Puumala - Puumala			1173	1137	2310
624 Pyhtää - Pyttis			2674	2665	5339
625 Pyhäjoki - Pyhäjoki			1692	1585	3277
626 Pyhäjärvi - Pyhäjärvi			2793	2761	5554
630 Pyhäntä - Pyhäntä			815	746	1561
631 Pyhäranta - Pyhäranta			1087	1047	2134
635 Pälkäne - Pälkäne			3369	3349	6718
636 Pöytyä - Pöytyä			4410	4209	8619
678 Raahe - Brahestad			12919	12459	25378
710 Raasepori - Raseborg			14118	14583	28701
680 Raisio - Reso			11965	12451	24416
681 Rantasalmi - Rantasalmi			1912	1893	3805
683 Ranua - Ranua			2133	1955	4088
684 Rauma - Raumo			19787	20179	39966
686 Rautalampi - Rautalampi			1675	1699	3374
687 Rautavaara - Rautavaara			963	801	1764
689 Rautjärvi - Rautjärvi			1825	1784	3609
691 Reisjärvi - Reisjärvi			1489	1412	2901
694 Riihimäki - Riihimäki			14486	14909	29395
697 Ristijärvi - Ristijärvi			728	686	1414
698 Rovaniemi - Rovaniemi			29983	31602	61585
700 Ruokolahti - Ruokolahti			2684	2716	5400
702 Ruovesi - Ruovesi			2385	2301	4686
