ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
M1,2006-05-05,,01,SCAXRX01,SGFM52R0111N1.OGR,20030116,6,,,1,5,1190,1660,1660,3900,1650,,02,1890,74,,true,,Volkswagen,2D POLO HATCHBACK 1.9TDI-9N/245,,,,05,e1*98/14*0174*04,02,426,132,409902,833,WVWZZZ9NZ3,27
O2,2002-06-11,13,01,,,20020611,8,,,,,510,2000,2000,7070,2300,,,,,,,,JSI-Trailers,VT 2000/508+70,,,VT 2000/508+70,08,,,604,,,339,,28
M1,2007-09-03,,01,SW79,SW799900,20040702,0,,,1,5,1717,2180,2180,4710,1800,,02,2400,120,,true,,Volvo,5D V70 STW 2.4 D5 AUTOMATIC-SW7999-00/276,,,V70,05,e4*01/116*0040*10,02,698,215,223222,969,YV1SW79994,29
M1,1998-03-20,,01,,5267114106,19980320,5,,AA,,5,1070,1455,1455,4140,1640,1420,01,1390,44,4,,,Volkswagen,4D POLO-CLASSIC-1.4-6K/244,,,POLO,05,,01,748,,91396,923,WVWZZZ6KZW,30
MUU,1991-06-10,1,01,,,19910610,,,,,,220,,690,,1770,,,,,,,,Omavalmiste,2.25M,,,,,,,989,,,637,,31
O2,2005-07-13,13,01,,,20050713,,,,,,1580,1900,1900,9000,2500,,,,,,,,LMC,FAV 720 RDK,,,,08,,,244,,,904,,32
MUU,1984-09-07,13,01,,,19840000,,,,,,260,,750,,1600,,,,,,,,Omavalmiste,750/2400+650,,,,,,,694,,,111,,33
M1,2004-08-23,,01,,,19940322,0,,,1,5,1120,1555,1555,4280,1690,,01,1590,52,,,,Opel,5D ASTRA 1.6I CD-F-CARAVAN-52/252,,,,05,,01,179,,327020,405,W0L000052R,34
M1,1999-01-27,,01,EG11,2A25BJ27HHE5,19990127,2,,AC,,5,1330,1830,1830,4290,1710,1510,02,1990,60,4,true,,Opel,5D ASTRA CARAVAN 2.0DT-TGF35/261,,,ASTRA-G-CARAVAN,05,e1*97/27*0087*02,02,698,,477067,965,W0L0TGF35X,35
M1,1999-06-21,,01,FD11,2A18AS16FDH5,19990621,6,,AC,,5,1210,1740,1740,4290,1710,1510,01,1590,74,4,,,Opel,5D ASTRA CARAVAN 1.6-TGF35/261,,,ASTRA-G-CARAVAN,05,e1*98/14*0087*03,01,423,,352452,214,W0L0TGF35X,36
