ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
O1,1987-06-11,1,01,,,19870000,,,,,,160,650,650,3200,1580,,,,,,,,Teräskärry,JUOKSUPOIKA 500/2130,,,,,,,165,,,142,,120
M1,1999-04-08,,01,SCP10(H),SCP10L-AHMGKW(1A),19990408,4,,AB,,5,925,1320,1320,3620,1660,1500,01,990,50,4,,,Toyota,4D YARIS HATCHBACK 1.0-SCP10L-AHMGKW/237,,,YARIS,05,e6*98/14*0064*00,01,208,,129044,851,JTDKV12390,121
M1,1999-12-30,,01,C9DA1,5QFBMU,19991230,6,,AC,,5,1307,1755,1755,4440,1700,1530,02,1750,66,4,true,,Ford,5D FOCUS 1.8TD STW-DNW/262,,,FOCUS,05,e13*97/27*0040*05,02,532,143,409879,154,WF0NXXGCDN,122
O1,2004-02-25,1,01,,,20040225,,,,,,260,750,750,4480,1940,,,,,,,,Tekno-Trailer,3300L/277,,,3300L/277,,,,444,,,085,,123
M1,2000-11-13,,01,,5606091347,20001113,2,,AB,,5,1460,1880,1880,4630,1710,1430,01,1980,110,4,true,,Saab,4D 9-3 HATCHBACK 2.0-D-55C/261,,,9-3,05,,01,853,213,237587,208,YS3DD55C41,124
O1,2004-03-26,1,01,,,20040326,,,,,,160,750,750,3850,1700,,,,,,,,Juhta,750 MS/248,,,750 MS/248,,,,049,,,022,,125
M1,2004-06-02,,01,STBFQX01,AGFA41M034M41N10GG,20040602,8,,AA,,5,1304,1780,1780,4370,1740,1440,01,1590,75,4,,,Volkswagen,4D BORA SEDAN 1.6 AUTOMATIC-1J/250,,,BORA,05,e1*01/116*0071*34,01,915,197,143408,782,WVWZZZ1JZ4,126
M1,2005-07-14,,01,MS21,MS2142??,20050714,8,,AA,,5,1369,1850,1850,4470,1770,1430,01,1790,92,4,,,Volvo,4D S40 SEDAN 1.8-MS2142/264,,,S40,05,e4*01/116*0076*06,01,153,172,168677,551,YV1MS21426,127
M1,2004-07-29,,01,ZZE121(W),ZZE121L-DWMNKW(1E),20040729,6,,AC,,5,1265,1655,1655,4390,1710,1500,01,1590,81,4,,,Toyota,5D COROLLA STW 1.6-ZZE121L-DWMNKW/260,,,COROLLA,05,e11*98/14*0181*04,01,535,172,159839,855,NMTEZ28E60,128
M1,2004-07-29,,01,ABBGUX01,FM5AF006M4,20040729,2,,AB,,5,1283,1800,1800,4200,1760,1470,01,1590,75,4,,,Volkswagen,4D GOLF HATCHBACK 1.6-1K/258,,,GOLF,05,e1*01/116*0242*05,01,205,175,39437,872,WVWZZZ1KZ5,129
M1,2008-05-21,,01,B,B01,20080521,0,,AF,,5,1182,1560,1560,4080,1690,1550,01,1590,81,4,,,Nissan,5D NOTE MPV 1.6-FCAE11/260,,,NOTE,05,e11*01/116*0268*00,01,564,156,58018,905,SJNFCAE11U,130
L3,1999-04-28,109,05,,,19990428,,,,,1,240,450,,2160,780,,01,1085,59,2,,,BMW,R1100R-259/1085,,5,,02,,01,977,,,841,,131
L1,2000-06-02,109,01,,,20000602,,,,,1,100,290,,1780,710,,01,49,2.9,1,,,Piaggio,VESPA 50 ET2-C16/49,,,,04,,01,704,,,212,,132
M1,2004-09-27,,01,,,19970000,0,,,1,5,1385,1790,1790,4480,1720,,01,1850,147,,true,,Volvo,4D SEDAN S40-VS18/255,,,,05,,01,698,,259159,972,YV1VS1822W,133
N1G,2002-01-09,,05,,,20020109,2,2,,,2,1830,2515,2515,5100,1690,1760,02,2440,66,4,true,false,Toyota,HILUX-2.4TD-LN170L-CRMDXW-PICKUP-4X4/310,1,5,HILUX-4X4,05,,02,858,,238162,043,,134
M1,1998-05-29,,05,,5560311504,19980529,2,,AC,,5,1553,1970,1970,4720,1760,1430,01,2430,106,5,,,Volvo,5D STW V70 2.5-LW51/266,,,V70,05,,01,593,,406952,761,YV1LW5102W,135
MA,2000-01-10,107,01,,,20000110,,,,4,2,335,,,2980,1210,1200,01,497,40,2,,,Lynx,TOURING 500F-503/497,,,,02,,01,297,,,733,,136
MUU,1975-08-11,509,01,,,19750000,,,,,1,2900,6235,,,,,02,3590,,4,,,David-Brown,1210/2250,,,,01,,02,224,,,036,,137
M1,2000-01-04,,01,,5249281514,20000104,6,,AC,,7,1395,1980,1980,4320,1740,1680,01,1790,85,4,,,Opel,5D ZAFIRA STW 1.8-TGF75/269,,,ZAFIRA-A,05,,01,593,204,331107,761,W0L0TGF75Y,138
M1,2003-06-13,,01,C,B,20030613,6,,AB,,5,1080,1470,1470,3850,1670,1530,01,1360,54,4,,,Citroen,4D C3 HATCHBACK 1.4I-FCKFVB/246,,,C3,05,e2*98/14*0257*01,01,858,148,170584,043,VF7FCKFVB2,139
M1,1996-05-23,,01,,5135324368,19960523,2,,AB,,5,1005,1460,1460,3830,1630,1330,01,1290,44,4,,,Ford,2D FIESTA HATCHBACK 1.3-JBS/245,,,FIESTA,05,,01,102,,47780,327,WF0BXXGAJB,140
M1,1998-01-23,,01,,5560241525,19980123,5,,AC,,5,1565,1970,1970,4850,1750,,01,2310,121,4,true,,Volvo,5D STW 940 TURBO-94586/277,,,940,05,,01,086,,312412,122,YV1945861W,141
MUU,1980-10-01,509,01,,,19800000,,,,,1,3270,6670,,,,,02,3770,,4,,,Leyland,462 SYNCHRO-QMS-4X4/2120,,,,02,,02,146,,,828,,142
M1,2004-10-27,,01,14Z,2,20041027,2,,AB,,5,1260,1695,1695,4420,1760,1470,01,1590,77,4,,,Mazda,4D MAZDA3 HATCHBACK 1.6-BK14Z2/264,,,3,05,e1*01/116*0234*02,01,422,172,289859,817,JMZBK14Z25,143
M1,2004-10-26,,01,3CNFU*,3CNFUK,20041026,6,,AB,,5,1268,1693,1693,4200,1750,1460,01,1580,80,4,,,Peugeot,4D 307 HATCHBACK 1.6I-3CNFUK/261,,,307,05,e2*98/14*0243*07,01,322,169,167056,258,VF33CNFUK8,144
O1,2004-09-13,1,01,,,20040913,,,,,,220,750,750,4540,1800,,,,,,,,Muuli,1400 SLM/287,,,1400 SLM/287,,,,911,,,757,,145
M1,2005-01-31,,01,128,2,20050131,2,,AA,,5,1345,1815,1815,4680,1780,1440,01,1790,88,4,,,Mazda,4D MAZDA6 SEDAN 1.8-GG1282/268,,,6,05,e1*98/14*0188*07,01,297,185,189859,707,JMZGG12825,146
O1,1991-09-12,1,01,,,19910912,8,,,,,130,500,500,3280,1640,,,,,,,,Jullikka,2015 S/229,,,,,,,601,,,448,,147
M1,2004-12-20,,01,TS59,TS5957??,20041220,5,,AA,,5,1677,2160,2160,4850,1830,1460,01,2520,154,5,true,,Volvo,4D S80 SEDAN 2.5T AUTOMATIC-TS5957-4X4/279,,,S80,05,e9*01/116*0028*15,01,616,252,288848,075,YV1TS59575,148
N2,2001-12-20,,01,,,20010529,,,BB,,6,2100,3550,3510,6520,1970,,02,2400,88,,true,,Ford,TRANSIT 350EL-2.4D88-FACY/375,1,,,05,,02,683,,203819,977,,149
L1,2000-06-06,109,01,,,20000606,,,,,1,80,265,,1750,680,,01,49,3.4,1,,,MBK,BOOSTER-NEXT GENERATION CW50RS-SA052/49,,,BOOSTER-NEXT GENERATION CW50RS-SA052/49,04,,01,286,,,453,,150
M3,2002-05-31,,02,,,20020531,,,,1,44,11750,19500,18000,13060,2550,,02,8970,169,,true,,Scania,L 94 UB-B,,,,07,,02,049,,954713,021,,151
O1,1993-05-19,1,01,,,19930519,,,,,,200,,700,,1780,,,,,,,,Omavalmiste,247X134,,,,,,,609,,,286,,152
M1,1975-09-02,21,01,,,19750902,2,,,1,2,820,1150,980,,1630,,01,1470,,,,,Volkswagen,2D SCIROCCO TS-53/2400,,,,05,,01,500,,,409,,153
O1,2000-06-06,1,01,,,20000606,,,,,,360,750,750,5050,2130,,,,,,,,VANKKA 750,172X362CM,,,,,,,423,,,214,,154
M1,1998-05-19,,01,,5900182305,19980519,1,,AB,,5,1305,1710,1710,4430,1720,1410,01,1590,73,4,,,Nissan,4D PRIMERA 1.6 HATCHBACK-FAAP11/260,,,PRIMERA,05,,01,790,,147234,382,SJNFAAP11U,155
M1,1999-06-14,,01,,,19990614,8,,,1,5,1145,1500,1500,3580,1720,,01,1590,75,,,,Mercedes-Benz,5D KOMBI A 160-AUTOMATIC-168033/242,,,,05,,01,905,,137641,653,WDB1680331,156
N1,1999-12-30,,01,,,19991230,Y,5,AC,1,2,1430,1830,1830,4570,1710,1500,02,1990,81,4,true,,Toyota,5D AVENSIS STW 2.0TD-CDT220L-AWMNYW/263,,,AVENSIS,05,,02,179,159,482757,419,,157
M1,1997-11-06,,01,,,19971106,5,,,1,5,1215,1650,1650,4150,1740,,01,1780,92,,,,Audi,2D HATCHBACK A3 1.8-8L/250,,,,05,,01,576,,326619,176,WAUZZZ8LZW,158
M1,1991-01-30,,01,,,19910130,8,,,1,5,960,1450,1335,4200,1660,,01,1290,60,4,,,Toyota,4D COROLLA XLI-EE90L-AEMDEW/243,,,COROLLA,05,,01,422,,140000,817,JT1E0EE900,159
M1,2006-03-13,,01,DS11,21,20001113,8,,,1,5,1670,2195,2195,4800,1800,,01,2170,125,,,,BMW,5D 520I TOURING-DS11/283,,,,05,e1*98/14*0028*13,01,710,228,301470,103,WBADS11090,160
O2,2000-02-29,10,01,,,20000228,,,,,,600,1700,1700,5920,2290,,,,,,,,Omavalmiste,1700,,,,08,,,286,,,457,,161
M1,2001-09-21,,01,RS65,RS65P2,20010921,8,,AA,,5,1543,1980,1980,4580,1800,1430,01,2430,103,5,,,Volvo,4D S60 SEDAN 2.4-RS65P2/272,,,S60,05,e9*98/14*0036*02,01,753,207,346385,041,YV1RS65P22,162
O1,2002-03-25,1,01,,,20020325,,,,,,180,750,750,4080,1710,,,,,,,,Juva,L 265,,,,,,,398,,,152,,163
M1,2006-06-09,,01,FC11,1A03A6FABN5,20060609,Y,,AC,,5,1325,1870,1870,4520,1750,1500,01,1790,92,4,,,Opel,5D ASTRA STW 1.8-AHL35/270,,,ASTRA STATION WAGON,05,e1*01/116*0293*03,01,851,187,154827,954,W0L0AHL356,164
MUU,,13,01,,,19740000,,,,,,260,,700,,1440,,,,,,,,KUHMO-TRAILER,,,,,,,,290,,,889,,165
O1,1992-09-17,13,01,,,19920917,,,,,,140,500,500,4390,1960,,,,,,,,Jusa,500/346,,,,,,,977,,,841,,166
M1,1998-07-15,,01,,,19980715,6,,,1,5,1450,1875,1875,4670,1740,,02,1890,66,,true,,Volkswagen,5D PASSAT VARIANT 1.9TDI-3B/271,,,,05,,02,619,,395973,319,WVWZZZ3BZW,167
M1,1998-10-22,,01,,5267075131,19981022,6,,AA,,5,1450,1870,1870,4680,1740,,01,1780,110,4,true,,Volkswagen,4D PASSAT 1.8T-3B/271,,,PASSAT,05,,01,092,,131915,012,WVWZZZ3BZX,168
N1G,2000-11-06,,01,,,20001106,5,,,,2,1870,2740,2740,4980,1820,,02,2490,76,4,true,,Nissan,KING CAB 2.5TD-BGUD22-PICKUP-4X4/295,,,KING CAB,05,,02,890,,319230,999,,169
L3,2003-03-07,109,01,I,IV,20030307,,,,4,2,193,395,395,2040,710,,01,998,112,4,,,Yamaha,YZF-R1-RN095/998,,6,YZF-R1-RN095/998,02,e13*92/61*0054*01,01,091,,,002,,170
M1,2007-01-31,,01,NH1,246,20070131,1,,AB,,5,1250,1650,1650,4300,1730,1450,01,1590,80,4,,,Chevrolet,4D LACETTI HATCHBACK 1.6-NF486/260,,,LACETTI,05,e4*01/116*0069*07,01,285,169,179030,482,KL1NF486J6,171
M1,2007-07-11,,01,O22AL1,N2AAA600,20070711,6,,AC,,6,2220,2865,2865,4920,1920,1660,02,2980,140,6,true,,Mercedes-Benz,5D R 280 CDI KOMBI-251020-4X4/298,,,R 280 CDI 4MATIC,05,e1*01/116*0341*02,02,285,246,151636,481,WDC2510201,172
O1,1994-04-29,1,01,,,19940429,,,,,,180,750,750,3780,1650,,,,,,,,Lewo,750/263,,,,,,,139,,,951,,173
O1,1983-09-05,1,01,,,19830000,,,,,,160,750,750,3450,1610,,,,,,,,Muuli,650S/2350,,,,,,,109,,,132,,174
MUU,1991-06-11,1,01,,,19910611,,,,,,180,750,750,,,,,,,,,,Majava,125-300 LJ/2850,,,,,,,740,,,577,,175
N3,1999-01-29,125,01,,,19990129,,,,,2,10490,29000,25000,9500,2600,,02,14190,338,,true,false,Scania,R 144 GB-6X2/450+132,,,,07,,02,441,,476370,545,,176
M1,2003-03-21,,01,,5900242117,20030321,5,,AA,,5,1254,1690,1690,4440,1710,1450,01,1490,72,4,,,Nissan,4D ALMERA SEDAN 1.5-BAAN16/254,,,ALMERA,05,,01,297,160,44921,703,SJNBAAN16U,177
M1,2006-09-27,,01,AXA1A,00AD,20060927,6,,AB,,5,935,1370,1370,3840,1660,1480,01,1240,44,4,,,Fiat,2D PUNTO HATCHBACK 1.2 8V-188AXA1A00AD/246,,,PUNTO,05,e3*98/14*0048*08,01,091,136,170932,009,ZFA1880000,178
M1,2004-08-20,,01,CS912,WGBBB5B5,20040820,0,,AC,,5,1395,1780,1780,4490,1700,1450,01,1990,99,4,,,Mitsubishi,5D LANCER STW 2.0 SPORT-LNCS9W/260,,,LANCER,05,e1*2001/116*0233*00,01,560,207,198466,163,JMBLNCS9W4,179
O1,2001-09-28,13,01,,,20010928,,,,,,200,750,750,5400,2130,,,,,,,,Omavalmiste,280 X 213,,,,,,,734,,,255,,180
M1,2003-06-27,,01,,,19930126,5,,,1,5,1550,1990,1990,4720,1750,,01,2490,141,,,,BMW,4D SEDAN 525I-HD51/276,,,,05,,01,109,,325220,131,WBAHD51020,181
M1,2003-08-11,,01,,5267361185,20030811,1,,AA,,5,1290,1760,1760,4370,1740,1440,01,1590,77,4,,,Volkswagen,4D BORA SEDAN 1.6-1J/250,,,BORA,05,,01,853,168,132855,205,WVWZZZ1JZ3,182
L3e,2006-10-20,108,01,A,A,20061020,3,,,4,1,110,335,335,2230,820,,01,125,4.8,1,,,KTM,125 EXC-GSA2/125,,6,125 EXC,02,e1*92/61*00060*07,01,444,,,082,,183
L1,,109,01,,,19880101,,,,,1,50,,,,680,,01,49,,1,,,Jawa,40-451 111 207.300/49,,,,01,,01,205,,,877,,184
O1,2007-10-30,13,01,,,20071030,,,,,,170,750,750,5750,1880,,,,,,,,Majava,VT 190-550LJ/449,,,,,,,091,,,005,,185
O1,1999-06-28,1,01,,,19990628,,,,,,230,750,750,4640,1800,,,,,,,,Kiito,750L/319,,,,,,,564,,,904,,186
M1,2003-08-14,,01,,5014321706,20030814,6,,AF,,7,1849,2430,2430,5110,1850,1800,01,3350,138,6,,,Chevrolet,5D TRANS SPORT 3.35/305,,,TRANS SPORT,05,,01,257,280,213814,028,1GNDX03E73,187
M1,2006-02-23,,01,TS79,TS7969??,20060223,8,,AA,,5,1635,2100,2100,4850,1830,1450,02,2400,120,5,true,,Volvo,4D S80 SEDAN 2.4 D5 AUTOMATIC-TS7969/279,,,S80,05,e9*01/116*0028*17,02,186,204,336102,044,YV1TS79696,188
MUU,,107,01,,,19910227,,,,,1,,,,,,,01,248,,,,,Lynx,GL 250 S,,,,,,01,261,,,991,,189
M1,1985-11-15,,01,,,19850000,5,,,1,5,950,1440,1325,,1670,,01,1590,,4,,,Volkswagen,4D JETTA CL-1600-16/2470,,,JETTA,05,,01,564,,,908,WVWZZZ16ZG,190
M1,2008-01-15,,01,AXA1A,00,20080115,1,,AA,,5,1235,1660,1660,4560,1730,1490,01,1360,57,4,,,Fiat,4D LINEA SEDAN 77 1.4-323AXA1A00/260,,,LINEA,05,e3*01/116*0260*00,01,091,148,107349,007,ZFA3230000,191
M1,1999-12-22,,01,,5267361104,19991222,4,,AA,,5,1280,1720,1720,4370,1740,,01,1590,74,4,,,Volkswagen,4D BORA 1.6-1J/250,,,BORA,05,,01,608,187,286114,296,WVWZZZ1JZY,192
M1,2002-01-08,,01,2,B,20020108,4,,AC,,5,1325,1759,1759,4370,1700,1420,02,1990,66,4,true,,Citroen,5D XSARA BREAK 2.0HDI-N2RHYB/254,,,XSARA,05,e2*98/14*0189*02,02,921,144,371200,723,VF7N2RHYB7,193
M1,2006-05-17,,01,MW20,MW2042??,20060517,9,,AC,,5,1335,1850,1850,4510,1770,1430,01,1590,74,4,,,Volvo,5D V50 STW 1.6-MW2042/264,,,V50,05,e4*01/116*0076*09,01,051,171,123238,271,YV1MW20426,194
M1,1995-08-15,,01,,,19950815,5,,,1,5,1130,1595,1595,4270,1690,,01,1580,84,4,,,Toyota,4D COROLLA 1.6XLI-AE101L-AEMDKW/247,,,COROLLA,05,,01,564,,229514,908,JT153AEA10,195
MUU,1992-04-22,1,01,,,19920422,,,,,,200,750,750,2580,1680,,,,,,,,Omavalmiste,2.58/1.27M,,,,,,,853,,,209,,196
M1,2003-10-21,,01,C,B,20031021,2,,AB,,5,1268,1693,1693,4200,1750,1460,01,1580,80,4,,,Peugeot,4D 307 HATCHBACK 1.6I-3CNFUB/261,,,307,05,e2*98/14*0243*01,01,179,169,208164,407,VF33CNFUB8,197
M1,1993-10-01,,01,,,19931001,9,,,1,5,1070,1555,1555,4280,1690,1480,01,1590,74,4,,,Opel,5D ASTRA 1.6I GL-F-CARAVAN-51/252,,,ASTRA-F-CARAVAN,05,,01,837,,,337,W0L000051P,198
M1,2006-08-11,,01,ZZT251(E),ZZT251L-AEMEKW(1G),20060811,1,,AA,,5,1355,1820,1820,4650,1760,1480,01,1790,95,4,,,Toyota,4D AVENSIS SEDAN 1.8-ZZT251L-AEMEKW/270,,,AVENSIS,05,e11*01/116*0196*06,01,092,171,74674,013,SB1BR56L50,199
M1,2004-01-31,,01,1,8,20040131,6,,AB,,5,1195,1620,1620,4290,1720,1500,01,1390,66,4,,,Honda,4D CIVIC HATCHBACK 1.4-EU77/269,,,CIVIC,05,e11*98/14*0160*04,01,233,153,217995,622,SHHEU77204,200
N2,2000-04-14,,01,,,20000414,,,,,2,2820,3900,3900,5560,2020,,02,6460,140,,true,,Chevrolet,CHEVY VAN 20-STARCRAFT-3.9T-FG25F/343,,,,10,,02,179,,214515,414,,201
O2,2007-11-20,13,01,,,20000831,,,,,,1100,1360,1360,7400,2270,,,,,,,,BÜRSTNER,530 TK FUN SPORTIV-H 934,,,,08,,,740,,,576,,202
O1,2005-04-08,1,01,,,20050408,,,,,,285,750,750,4700,1950,,,,,,,,TRAILMASTER,CON 4,,,,,,,853,,,203,,203
MUU,1989-02-14,510,05,,,19880000,,,,4,1,14030,,,,2950,,02,6000,,,,,Lokomo,990-6X6/1450+2980,,,,07,,02,837,,,331,,204
M1,2004-04-15,,01,,,20040415,8,,,1,5,1435,1860,1860,4470,1740,,01,1990,105,,,,BMW,4D 318I SEDAN AUTOMATIC-EY71/273,,,,05,,01,743,196,52449,601,WBAEY71070,205
M1,2004-06-18,,01,B,B02,20040618,8,,AF,,5,1448,1830,1830,4260,1760,1610,01,1760,85,4,,,Nissan,5D ALMERA TINO MPV 1.8-TBAV10/254,,,ALMERA TINO,05,e9*98/14*0035*06,01,749,183,179142,709,VSKTBAV10U,206
N3,1990-05-02,,01,,,19900502,,,,,2,8800,,18000,10250,2550,,02,6700,180,,true,,Volvo,FL7,,,,07,,02,837,,,332,,207
M1,1996-09-20,,01,,,19960920,4,,,1,5,1480,1990,1990,4800,1780,,01,2590,110,6,,,Audi,4D SEDAN A6 2.6E-C4A/268,,,A6,05,,01,272,,278985,673,WAUZZZ4AZV,208
O1,1994-09-28,1,01,,,19940928,,,,,,180,750,750,3880,1640,,,,,,,,Aku,75 L/265,,,,,,,171,,,796,,209
MUU,1981-10-15,13,01,,,19810000,,,,,,130,,530,,1480,,,,,,,,Omavalmiste,,,,,,,,791,,,927,,210
M1,,21,01,,,19770000,6,4,,,9,1550,2350,2350,4430,1960,,01,1990,63,4,false,false,Ford,TRANSIT 100-LAN-2000-VAN/PH/2690,,,,05,,01,608,,38120,296,,211
M1,2003-03-31,,01,,,20030331,6,,,1,5,1370,1820,1820,4700,1760,,01,1790,95,,,,Toyota,5D AVENSIS STW 1.8-ZZT251L-AWMEKW/270,,,,05,,01,408,172,276326,622,SB1ER56L00,212
O2,2006-07-06,13,01,,,20060706,,,,,,729,3000,3000,5600,2160,,,,,,,,AGADOS,ADAM B2,,,,08,,,398,,,151,,213
M1,2006-09-06,,01,M111,5122G,20060906,2,,AF,,5,1295,1753,1753,4340,1740,1470,01,1590,77,4,,,Kia,5D CERATO MPV 1.6 AUTOMATIC-FE2423/261,,,CERATO,05,e11*01/116*0228*02,01,139,187,59702,911,KNEFE24236,214
MUU,1987-02-04,13,01,,,19870204,,,,,,450,,1600,,2120,,,,,,,,Kärppä,170-400 J 2-AKS,,,,08,,,505,,,046,,215
O1,1986-05-09,1,01,,,19860000,,,,,,130,620,620,3250,1660,,,,,,,,Sukkela,006/2270,,,,,,,743,,,611,,216
N1,1990-02-14,,01,,,19900214,6,,,,2,1650,2315,2310,4900,1690,,02,2440,61,,,,Volkswagen,TARO 2.4D-7AX1-SONDERKABINE PICKUP-4X4/3090,,,,05,,02,075,,324117,494,,217
M1,2004-03-19,,01,,5900242117,20040319,1,,AA,,5,1254,1690,1690,4440,1710,1450,01,1490,72,4,,,Nissan,4D ALMERA SEDAN 1.5-BAAN16/254,,,ALMERA,05,,01,758,160,141895,996,SJNBAAN16U,218
MUU,1995-08-11,509,01,,,19950811,,,,,1,3330,5850,,,,,02,4400,59,4,,,Valmet,665-4-4X4/239,,,,01,,02,423,,,214,,219
M1,1997-07-18,,01,,5900182101,19970718,2,,AA,,5,1275,1670,1670,4430,1720,1410,01,1590,73,4,,,Nissan,4D PRIMERA 1.6-BAAP11/260,,,PRIMERA,05,,01,217,,332915,691,SJNBAAP11U,220
MUU,1997-04-04,509,01,,,19970404,,,,,1,4650,11000,11000,4430,,2860,02,4390,85,4,true,,Valmet,6800-4-4X4/233,,,,02,,02,232,,,618,,221
O2,1989-05-05,13,,,,19890000,,,,,,760,1100,910,6400,2110,,,,,,,,Matkaaja,PALLAS 5700-B/3770,,,,08,,,837,,,332,,222
MUU,1978-05-03,13,01,,,19780000,,,,,,120,,620,,1430,,,,,,,,Hessu,5,,,,,,,598,,,686,,223
MUU,1992-06-02,10,01,,,19920602,,,,,,260,,1250,,2160,,,,,,,,Omavalmiste,PV-1250,,,,08,,,505,,,045,,224
O1,2003-05-02,13,01,,,20030502,,,,,,110,450,450,4320,1590,1010,,,,,,,Aku,450K/372,,,450K/372,,,,272,,,674,,225
N2,1998-08-06,,01,,,19980806,,,,,2,2920,3900,3900,5560,2020,,02,6460,140,,true,,Chevrolet,CHEVY VAN 20-STARCRAFT-3.9T-FG25F/343,,,,10,,02,927,,465700,031,,226
M1,1995-02-23,,01,,,19950223,2,,,1,5,1150,1575,1575,4340,1700,1420,01,1490,66,4,,,Mazda,4D FAMILIA 323-1.5I-BA1252/261,,,323,05,,01,249,,252346,427,JMZBA12520,227
M1,1985-09-13,,01,,,19850000,5,,,1,5,880,1385,1255,,1640,,01,1290,,4,,,Toyota,4D COROLLA SE-EE80L-EEMDSW/2430,,,COROLLA,05,,01,507,,,527,JT1E0EE800,228
MA,2000-01-21,107,01,,,20000121,,,,4,1,327,502,,2770,1180,,01,500,64,2,,,Polaris,XC 500-SB5AS/500,,,,02,,01,541,,,755,,229
M1,2000-11-24,,01,EB6G,4,20001124,Y,,AA,,5,1735,2130,2130,5000,1920,1420,01,3510,185,6,,,Chrysler,4D SEDAN 300M-EB6G/287,,,300M,05,e11*93/81*0056*05,01,179,270,253240,418,1C3AEB6GX1,230
M1,1994-12-23,,01,,,19941223,7,,,1,5,1390,1910,1910,4840,1750,,01,2310,85,,,,Volvo,5D STW 940 GL-94583/277,,,,05,,01,061,,392490,301,YV1945836S,231
O2,1989-07-31,13,01,,,19890000,,,,,,460,,1600,5420,2240,,,,,,,,Omavalmiste,410X22402AKS,,,,08,,,140,,,741,,232
O2,1991-09-26,13,01,,,19910926,9,,,,,940,1200,1130,6400,2200,2480,,,,,,,Munsterland,LUXUS 490F/385,,,,08,,,140,,,741,,233
M1,2003-05-31,,01,BXA1A,01S,20030531,0,,AB,,5,950,1385,1385,3840,1660,1480,01,1240,44,4,,,Fiat,4D PUNTO HATCHBACK 1.2 8V-188BXA1A01S/246,,,PUNTO,05,e3*98/14*0048*03,01,408,136,199441,621,ZFA1880000,234
M1,2005-09-16,,01,3ENFU*,3ENFUC,20050916,2,,AC,,5,1330,1800,1800,4430,1760,1560,01,1580,80,4,,,Peugeot,5D 307 WAGON 1.6I-3ENFUC/271,,,307,05,e2*01/116*0243*10,01,236,178,349700,696,VF33ENFUC8,235
M1,2007-09-17,,01,2,8,20070917,0,,AF,,5,1573,2030,2030,4750,1760,1500,01,1990,114,4,,,Honda,5D ACCORD TOURER SPORT 2.0 AUTOMATIC-CM18/272,,,ACCORD TOURER,05,e6*01/116*0093*03,01,091,213,147748,007,JHMCM18507,236
M1,2006-03-20,,01,,,19970730,2,,,1,5,1165,1600,1600,4150,1740,,01,1590,74,,,,Audi,2D HATCHBACK A3 1.6-8L/250,,,,05,,01,420,,161652,791,WAUZZZ8LZV,237
M1,2004-09-17,,01,,5135651710,20040917,8,,AF,,5,1387,1910,1910,4330,1830,1560,01,1790,88,4,,,Ford,4D FOCUS C-MAX MPV 1.8-DM2/264,,,FOCUS C-MAX,05,,01,092,170,215612,013,WF0MXXGCDM,238
M1,2004-06-09,,01,ACBCAX01,FM5AH004NB,20040609,9,,AC,,5,1417,2000,2000,4400,1800,1830,01,1390,55,4,,,Volkswagen,4D CADDY KOMBI 1.4-2K/268,,,CADDY,05,e1*01/116*0252*01,01,753,197,157055,011,WV2ZZZ2KZ4,239
M1,1996-08-13,,01,,,19960813,2,,,1,5,1140,1570,1570,4280,1690,1480,01,1590,55,4,,,Opel,5D ASTRA 1.6I COMFORT-F-CARAVAN-51/252,,,ASTRA-F-CARAVAN,05,,01,179,,212057,408,W0L000051T,240
M1,1988-08-23,,01,,,19880000,1,,,1,5,980,1440,1355,,1670,,01,1290,,4,,,Mitsubishi,4D LANCER 1.3 GL-SNC61A/2460,,,LANCER,05,,01,698,,230042,964,JMBSNC61AK,241
O1,2001-09-19,1,01,,,20010919,8,,,,,220,750,750,4640,1900,,,,,,,,Majava,M 5032 LJ/304,,,,,,,240,,,947,,242
M1,2004-01-28,,01,X,X01,20040128,1,,AA,,5,1377,1800,1800,4440,1710,1450,02,2180,82,4,true,,Nissan,4D ALMERA SEDAN 2.2D-BDAN16/254,,,ALMERA,05,e11*98/14*0129*09,02,595,161,361979,724,SJNBDAN16U,243
MA,,107,01,,,19920000,,,,4,2,230,,,3130,970,,01,368,25,2,,,Lynx,GL 3900 LTS,,,,,,01,286,,,453,,244
M1,2004-05-21,,01,ZZE121(H),ZZE121L-AHMNKW(1C),20040521,Y,,AB,,5,1230,1655,1655,4180,1710,1480,01,1590,81,4,,,Toyota,4D COROLLA HATCHBACK 1.6-ZZE121L-AHMNKW/260,,,COROLLA,05,e11*98/14*0180*02,01,179,168,187299,404,JTDKZ28E90,245
